X : 1 if unit j processes task i starting at time t
    Size=1015, Index=X_index
    Key                      : Lower : Value : Upper : Fixed : Stale : Domain
      ('Mix', 'R_large', 22) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_large', 23) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_large', 24) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_large', 25) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_large', 26) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_large', 27) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_large', 28) :     0 :     0 :     1 :  True :  True : Binary
       ('Mix', 'R_small', 0) :     0 :     0 :     1 :  True :  True : Binary
       ('Mix', 'R_small', 1) :     0 :     0 :     1 :  True :  True : Binary
       ('Mix', 'R_small', 2) :     0 :     0 :     1 :  True :  True : Binary
       ('Mix', 'R_small', 3) :     0 :     0 :     1 :  True :  True : Binary
       ('Mix', 'R_small', 4) :     0 :     0 :     1 :  True :  True : Binary
       ('Mix', 'R_small', 5) :     0 :     0 :     1 :  True :  True : Binary
       ('Mix', 'R_small', 6) :     0 :     0 :     1 :  True :  True : Binary
       ('Mix', 'R_small', 7) :     0 :     0 :     1 :  True :  True : Binary
       ('Mix', 'R_small', 8) :     0 :     0 :     1 :  True :  True : Binary
       ('Mix', 'R_small', 9) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 10) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 11) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 12) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 13) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 14) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 15) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 16) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 17) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 18) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 19) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 20) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 21) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 22) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 23) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 24) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 25) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 26) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 27) :     0 :     0 :     1 :  True :  True : Binary
      ('Mix', 'R_small', 28) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 0) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 1) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 2) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 3) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 4) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 5) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 6) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 7) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 8) :     0 :     0 :     1 :  True :  True : Binary
           ('Mix', 'Sep', 9) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 10) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 11) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 12) :     0 :     0 :     1 :  True :  True : Binary
          ('Mix', 'Sep', 13) :     0 :     0 :     1 :  True :  True : Binary
