Vreactor : Reactive mixture volume for reaction I in reactor J [m^3]
    Size=6, Index=Vreactor_index
    Key               : Lower : Value             : Upper : Fixed : Stale : Domain
    ('R1', 'R_large') :  0.15 : 0.317443333207311 :   1.5 : False : False : NonNegativeReals
    ('R1', 'R_small') :   0.1 : 0.897709684728278 :     1 : False : False : NonNegativeReals
    ('R2', 'R_large') :  0.15 : 1.388888888888889 :   1.5 : False : False : NonNegativeReals
    ('R2', 'R_small') :   0.1 : 0.100002572486052 :     1 : False : False : NonNegativeReals
    ('R3', 'R_large') :  0.15 : 1.401046590793599 :   1.5 : False : False : NonNegativeReals
    ('R3', 'R_small') :   0.1 : 0.265620075873068 :     1 : False : False : NonNegativeReals

Cvar_(R1,R_large) : Component composition profile [kmol/m^3]
    Size=183, Index='Cvar_(R1,R_large)_index'
    Key             : Lower : Value             : Upper : Fixed : Stale : Domain
           (0, 'B') :  0.05 :               1.0 :   1.0 : False : False : NonNegativeReals
    (0.923258, 'D') :   0.0 : 1.534898149968564 :   1.9 : False : False : NonNegativeReals
    (0.996742, 'B') :  0.05 : 0.203981509156009 :   1.0 : False : False : NonNegativeReals
    (0.996742, 'C') :  0.05 : 0.203981509156009 :   1.0 : False : False : NonNegativeReals
    (0.996742, 'D') :   0.0 : 1.592036981687956 :   1.9 : False : False : NonNegativeReals
        (1.05, 'B') :  0.05 : 0.186481403033378 :   1.0 : False : False : NonNegativeReals
        (1.05, 'C') :  0.05 : 0.186481403033378 :   1.0 : False : False : NonNegativeReals
        (1.05, 'D') :   0.0 : 1.627037193933214 :   1.9 : False : False : NonNegativeReals
    (1.073258, 'B') :  0.05 :  0.17956294185067 :   1.0 : False : False : NonNegativeReals
    (1.073258, 'C') :  0.05 :  0.17956294185067 :   1.0 : False : False : NonNegativeReals
    (1.073258, 'D') :   0.0 : 1.640874116298632 :   1.9 : False : False : NonNegativeReals
    (1.146742, 'B') :  0.05 : 0.160110125225521 :   1.0 : False : False : NonNegativeReals
    (1.146742, 'C') :  0.05 : 0.160110125225521 :   1.0 : False : False : NonNegativeReals
    (1.146742, 'D') :   0.0 : 1.679779749548929 :   1.9 : False : False : NonNegativeReals
         (1.2, 'B') :  0.05 : 0.148018354896061 :   1.0 : False : False : NonNegativeReals
         (1.2, 'C') :  0.05 : 0.148018354896061 :   1.0 : False : False : NonNegativeReals
         (1.2, 'D') :   0.0 : 1.703963290207846 :   1.9 : False : False : NonNegativeReals
    (1.223258, 'B') :  0.05 : 0.143199841943446 :   1.0 : False : False : NonNegativeReals
    (1.223258, 'C') :  0.05 : 0.143199841943446 :   1.0 : False : False : NonNegativeReals
    (1.223258, 'D') :   0.0 : 1.713600316113075 :   1.9 : False : False : NonNegativeReals
    (1.296742, 'B') :  0.05 : 0.129587336814876 :   1.0 : False : False : NonNegativeReals
