X : 1 if unit j processes task i starting at time t
    Size=455, Index=X_index
    Key                      : Lower : Value : Upper : Fixed : Stale : Domain
        ('R2', 'R_small', 2) :     0 :   1.0 :     1 : False : False : Binary
        ('R2', 'R_small', 3) :     0 :   0.0 :     1 : False : False : Binary
        ('R2', 'R_small', 4) :     0 :   0.0 :     1 : False : False : Binary
        ('R2', 'R_small', 5) :     0 :   0.0 :     1 : False : False : Binary
        ('R2', 'R_small', 6) :     0 :   0.0 :     1 : False : False : Binary
        ('R2', 'R_small', 7) :     0 :   0.0 :     1 : False : False : Binary
        ('R2', 'R_small', 8) :     0 :   0.0 :     1 : False : False : Binary
        ('R2', 'R_small', 9) :     0 :   0.0 :     1 : False : False : Binary
       ('R2', 'R_small', 10) :     0 :   0.0 :     1 : False : False : Binary
       ('R2', 'R_small', 11) :     0 :   0.0 :     1 : False : False : Binary
       ('R2', 'R_small', 12) :     0 :   0.0 :     1 : False : False : Binary
            ('R2', 'Sep', 0) :     0 :     0 :     1 : False : False : Binary
            ('R2', 'Sep', 1) :     0 :     0 :     1 : False : False : Binary
            ('R2', 'Sep', 2) :     0 :     0 :     1 : False : False : Binary
            ('R2', 'Sep', 3) :     0 :     0 :     1 : False : False : Binary
            ('R2', 'Sep', 4) :     0 :     0 :     1 : False : False : Binary
            ('R2', 'Sep', 5) :     0 :     0 :     1 : False : False : Binary
            ('R2', 'Sep', 6) :     0 :     0 :     1 : False : False : Binary
            ('R2', 'Sep', 7) :     0 :     0 :     1 : False : False : Binary
            ('R2', 'Sep', 8) :     0 :     0 :     1 : False : False : Binary
            ('R2', 'Sep', 9) :     0 :     0 :     1 : False : False : Binary
           ('R2', 'Sep', 10) :     0 :     0 :     1 : False : False : Binary
           ('R2', 'Sep', 11) :     0 :     0 :     1 : False : False : Binary
           ('R2', 'Sep', 12) :     0 :     0 :     1 : False : False : Binary
            ('R3', 'Mix', 0) :     0 :     0 :     1 : False : False : Binary
            ('R3', 'Mix', 1) :     0 :     0 :     1 : False : False : Binary
            ('R3', 'Mix', 2) :     0 :     0 :     1 : False : False : Binary
            ('R3', 'Mix', 3) :     0 :     0 :     1 : False : False : Binary
            ('R3', 'Mix', 4) :     0 :     0 :     1 : False : False : Binary
            ('R3', 'Mix', 5) :     0 :     0 :     1 : False : False : Binary
            ('R3', 'Mix', 6) :     0 :     0 :     1 : False : False : Binary
            ('R3', 'Mix', 7) :     0 :     0 :     1 : False : False : Binary
            ('R3', 'Mix', 8) :     0 :     0 :     1 : False : False : Binary
            ('R3', 'Mix', 9) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Mix', 10) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Mix', 11) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Mix', 12) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Pack', 0) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Pack', 1) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Pack', 2) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Pack', 3) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Pack', 4) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Pack', 5) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Pack', 6) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Pack', 7) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Pack', 8) :     0 :     0 :     1 : False : False : Binary
           ('R3', 'Pack', 9) :     0 :     0 :     1 : False : False : Binary
          ('R3', 'Pack', 10) :     0 :     0 :     1 : False : False : Binary
          ('R3', 'Pack', 11) :     0 :     0 :     1 : False : False : Binary
          ('R3', 'Pack', 12) :     0 :     0 :     1 : False : False : Binary
        ('R3', 'R_large', 0) :     0 :   0.0 :     1 : False : False : Binary
