rho_minus : Fraction of material in state k consumed by task i 
    Size=1125, Index=rho_minus_index
    Key              : Lower : Value             : Upper : Fixed : Stale : Domain
     ('T1', 'S4', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S4', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S4', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S4', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S4', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S4', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S4', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S4', 8) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S4', 9) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 10) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 11) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 12) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 13) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 14) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 15) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 16) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 17) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 18) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 19) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 20) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 21) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 22) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 23) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S4', 24) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S5', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S5', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S5', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S5', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S5', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S5', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S5', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S5', 7) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S5', 8) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S5', 9) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 10) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 11) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 12) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 13) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 14) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 15) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 16) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 17) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 18) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 19) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 20) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 21) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 22) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 23) :     0 :              None :     1 : False :  True : NonNegativeReals
    ('T1', 'S5', 24) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S6', 0) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S6', 1) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S6', 2) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S6', 3) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S6', 4) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S6', 5) :     0 :              None :     1 : False :  True : NonNegativeReals
     ('T1', 'S6', 6) :     0 :              None :     1 : False :  True : NonNegativeReals
