SYMBOL   :   VALUE
MODELSTAT     8.000000000000000
SOLVESTAT     1.000000000000000
OBJEST                  ????
OBJVAL   -24.383077730927640
NUMVAR  1.339300000000000E+4
NUMEQU  1.386000000000000E+4
NUMDVAR   620.000000000000000
NUMNZ  5.664800000000001E+4
ETSOLVE    15.717000095173720
